id_do_caso,continente,educacao_do_empregado,tem_experiencia_de_trabalho,requer_treinamento_de_trabalho,num_de_empregados,ano_de_estabelecimento,regiao_de_emprego,salario_prevalecente,unidade_de_salario,posicao_em_tempo_integral,status_do_caso,cat_empresa,cat_salario,cat_experiencia
EZYV10567,Europa,Ensino Médio,N,S,2087,1855,Sul,69711.24,Ano,S,Negado,antiga,medio_baixo,3
EZYV5505,Ásia,Mestrado,S,N,5991,2003,Meio-Oeste,52931.38,Ano,S,Aprovado,nova,medio_baixo,2
EZYV5207,Ásia,Ensino Médio,N,N,1426,2000,Ilha,110830.21,Ano,S,Negado,nova,alto,4
EZYV7545,Ásia,Ensino Médio,N,N,3846,1992,Meio-Oeste,91884.68,Semana,S,Negado,intermediaria,medio_alto,4
EZYV16071,Ásia,Ensino Superior,S,N,3957,1949,Nordeste,138155.24,Ano,S,Aprovado,intermediaria,alto,2
EZYV3753,Ásia,Mestrado,S,N,2374,1998,Oeste,129632.27,Ano,N,Aprovado,nova,alto,2
EZYV18223,Ásia,Mestrado,S,N,496,1998,Nordeste,111491.39,Ano,S,Aprovado,nova,alto,2
EZYV16032,América do Sul,Ensino Superior,N,N,631,1999,Sul,547.0719,Hora,S,Negado,nova,baixo,4
EZYV19836,Ásia,Mestrado,N,N,5795,2000,Nordeste,136521.72,Ano,S,Aprovado,nova,alto,4
EZYV4565,Ásia,Mestrado,S,N,70,2010,Oeste,69027.56,Ano,S,Aprovado,nova,medio_baixo,2
EZYV8233,Europa,Ensino Superior,S,S,99,1996,Oeste,42594.42,Ano,S,Aprovado,nova,medio_baixo,1
EZYV3843,América do Sul,Ensino Superior,S,N,25914,2004,Sul,806.2222,Hora,S,Negado,nova,baixo,2
EZYV16208,Ásia,Mestrado,N,N,3630,1996,Meio-Oeste,48657.18,Ano,S,Aprovado,nova,medio_baixo,4
EZYV739,América do Norte,Ensino Superior,S,N,1222,1997,Nordeste,851.4471,Hora,S,Negado,nova,baixo,2
EZYV5230,Ásia,Mestrado,N,S,4473,1983,Nordeste,163519.84,Ano,S,Aprovado,intermediaria,alto,3
EZYV20887,Ásia,Mestrado,S,N,549,1997,Ilha,94064.29,Ano,S,Aprovado,nova,medio_alto,2
EZYV20395,Europa,Ensino Superior,S,N,1040,2003,Oeste,49167.95,Ano,S,Aprovado,nova,medio_baixo,2
EZYV11700,América do Norte,Mestrado,S,N,3060,2003,Sul,3400.65,Ano,S,Aprovado,nova,baixo,2
EZYV16472,América do Norte,Mestrado,S,N,3710,2005,Nordeste,26221.66,Ano,S,Aprovado,nova,baixo,2
EZYV11623,África,Ensino Superior,N,N,451,2000,Sul,66.1509,Hora,S,Aprovado,nova,baixo,4
EZYV12329,Ásia,Ensino Superior,N,N,4160,1968,Meio-Oeste,166973.76,Ano,S,Aprovado,intermediaria,alto,4
EZYV23445,Ásia,Ensino Superior,N,N,3829,1998,Oeste,30169.84,Ano,S,Negado,nova,baixo,4
EZYV874,América do Norte,Ensino Superior,S,N,6289,2004,Nordeste,12759.63,Ano,S,Aprovado,nova,baixo,2
EZYV7705,Ásia,Ensino Superior,N,N,2236,1965,Oeste,30637.14,Ano,S,Negado,intermediaria,baixo,4
EZYV19387,Ásia,Ensino Superior,N,N,1905,1986,Sul,58246.93,Ano,S,Aprovado,intermediaria,medio_baixo,4
EZYV12675,Ásia,Ensino Superior,S,N,2695,1988,Meio-Oeste,12893.99,Ano,S,Aprovado,intermediaria,baixo,2
EZYV1580,Europa,Doutorado,S,S,2504,2000,Sul,205508.95,Ano,S,Aprovado,nova,alto,1
EZYV19787,Ásia,Ensino Superior,S,N,3229,1998,Sul,68647.07,Ano,S,Negado,nova,medio_baixo,2
EZYV10282,Ásia,Ensino Superior,S,N,1086,2011,Meio-Oeste,143.346,Hora,S,Negado,nova,baixo,2
EZYV12962,Ásia,Ensino Superior,N,N,4433,1946,Nordeste,107268.08,Ano,S,Aprovado,intermediaria,medio_alto,4
EZYV596,América do Norte,Ensino Superior,S,N,908,1997,Ilha,29099.81,Ano,S,Aprovado,nova,baixo,2
EZYV11763,América do Norte,Doutorado,S,N,3077,2007,Sul,10292.62,Ano,S,Aprovado,nova,baixo,2
EZYV13285,Ásia,Ensino Superior,N,N,2075,2005,Sul,44816.71,Ano,S,Aprovado,nova,medio_baixo,4
EZYV23822,Europa,Mestrado,S,N,3475,1986,Nordeste,35269.39,Ano,S,Aprovado,intermediaria,medio_baixo,2
EZYV16769,Ásia,Doutorado,S,N,1946,1869,Oeste,90686.97,Ano,S,Negado,antiga,medio_alto,2
EZYV7173,Ásia,Ensino Superior,N,S,2324,1937,Ilha,93560.12,Ano,S,Aprovado,antiga,medio_alto,3
EZYV7641,América do Norte,Ensino Superior,S,N,3376,2000,Nordeste,58025.3,Ano,N,Aprovado,nova,medio_baixo,2
EZYV13128,Ásia,Ensino Superior,N,N,4231,1894,Sul,955.657,Hora,S,Negado,antiga,baixo,4
EZYV16047,Ásia,Ensino Superior,N,N,4976,2000,Oeste,146655.47,Ano,S,Negado,nova,alto,4
EZYV18153,Ásia,Ensino Superior,N,N,1190,2013,Sul,85490.1,Ano,S,Negado,nova,medio_alto,4
EZYV10645,Ásia,Mestrado,S,N,1711,1975,Nordeste,57745.32,Ano,S,Aprovado,intermediaria,medio_baixo,2
EZYV4570,Ásia,Ensino Médio,N,N,2733,2001,Sul,119529.62,Ano,S,Negado,nova,alto,4
EZYV1813,Ásia,Ensino Superior,S,N,239,2001,Oeste,45139.63,Ano,S,Aprovado,nova,medio_baixo,2
EZYV19056,Ásia,Ensino Superior,S,S,505,2003,Oeste,129422.72,Ano,S,Negado,nova,alto,1
EZYV4891,Ásia,Ensino Superior,N,N,4989,2004,Oeste,43145.7,Ano,S,Negado,nova,medio_baixo,4
EZYV9245,Ásia,Ensino Superior,N,N,2240,2001,Sul,14439.38,Ano,N,Aprovado,nova,baixo,4
EZYV16245,Europa,Doutorado,S,N,2053,1994,Sul,14905.39,Ano,S,Aprovado,intermediaria,baixo,2
EZYV25303,América do Norte,Mestrado,S,N,1967,2004,Nordeste,41236.95,Ano,S,Negado,nova,medio_baixo,2
EZYV20087,Ásia,Mestrado,S,N,3578,1914,Nordeste,241811.15,Ano,N,Aprovado,antiga,alto,2
EZYV67,América do Norte,Ensino Superior,N,N,80,1968,Oeste,82324.64,Ano,N,Negado,intermediaria,medio_alto,4
EZYV5462,Ásia,Ensino Superior,S,N,280,1996,Oeste,76966.42,Ano,S,Negado,nova,medio_alto,2
EZYV20664,Europa,Ensino Superior,N,S,88622,2012,Oeste,10869.2,Ano,S,Aprovado,nova,baixo,3
EZYV20602,Ásia,Ensino Superior,S,S,3922,2001,Oeste,615.32,Ano,S,Negado,nova,baixo,1
EZYV11726,América do Norte,Mestrado,S,S,4114,1977,Sul,123176.33,Ano,S,Negado,intermediaria,alto,1
EZYV8714,Ásia,Mestrado,N,N,1652,1987,Meio-Oeste,159643.51,Ano,S,Aprovado,intermediaria,alto,4
EZYV7331,Ásia,Ensino Superior,N,N,2052,2007,Sul,100345.72,Ano,N,Aprovado,nova,medio_alto,4
EZYV13703,Europa,Doutorado,N,N,117375,1981,Sul,4122.75,Ano,S,Aprovado,intermediaria,baixo,4
EZYV8412,Ásia,Ensino Superior,S,N,2410,2008,Sul,50509.2,Ano,S,Negado,nova,medio_baixo,2
EZYV74,Ásia,Mestrado,S,N,452,1890,Sul,122540.55,Ano,S,Aprovado,antiga,alto,2
EZYV1872,Europa,Mestrado,N,N,183,1975,Oeste,69076.34,Ano,S,Aprovado,intermediaria,medio_baixo,4
EZYV14444,Ásia,Mestrado,N,N,14063,2006,Sul,188651.38,Ano,S,Aprovado,nova,alto,4
EZYV7348,Ásia,Doutorado,S,N,80,1931,Sul,72311.46,Ano,N,Aprovado,antiga,medio_alto,2
EZYV12705,Europa,Ensino Médio,N,N,595,1969,Nordeste,122697.43,Ano,S,Negado,intermediaria,alto,4
EZYV7482,América do Sul,Doutorado,N,N,1221,1980,Sul,31374.88,Ano,S,Aprovado,intermediaria,baixo,4
EZYV24234,Ásia,Ensino Superior,S,N,1125,1980,Oeste,9857.9,Ano,S,Aprovado,intermediaria,baixo,2
EZYV13592,Europa,Ensino Médio,S,N,234,1954,Oeste,32139.19,Ano,S,Negado,intermediaria,baixo,2
EZYV5277,Ásia,Mestrado,S,N,5223,1972,Oeste,35082.86,Ano,N,Aprovado,intermediaria,medio_baixo,2
EZYV23686,Ásia,Mestrado,N,N,5476,1984,Sul,35035.36,Ano,S,Negado,intermediaria,medio_baixo,4
EZYV22446,Ásia,Ensino Superior,S,N,631,2012,Oeste,92642.43,Ano,S,Aprovado,nova,medio_alto,2
EZYV25182,Europa,Doutorado,S,N,5596,2000,Oeste,3286.51,Ano,S,Aprovado,nova,baixo,2
EZYV24553,Ásia,Mestrado,N,N,1277,2007,Meio-Oeste,78379.31,Ano,S,Aprovado,nova,medio_alto,4
EZYV83,Ásia,Ensino Médio,S,N,39,2000,Oeste,70778.82,Ano,S,Negado,nova,medio_alto,2
EZYV11624,Ásia,Ensino Superior,S,N,2774,2006,Sul,6001.7,Ano,S,Aprovado,nova,baixo,2
EZYV8285,Europa,Doutorado,N,N,104,1872,Nordeste,51214.55,Ano,S,Aprovado,antiga,medio_baixo,4
EZYV16350,Ásia,Doutorado,S,N,3359,1968,Nordeste,22773.95,Ano,S,Aprovado,intermediaria,baixo,2
EZYV10721,Europa,Mestrado,S,N,2989,1954,Oeste,92859.85,Ano,S,Aprovado,intermediaria,medio_alto,2
EZYV15285,Ásia,Ensino Médio,S,N,3081,2000,Nordeste,107725.69,Ano,S,Negado,nova,alto,2
EZYV17437,Ásia,Ensino Médio,S,N,1065,2011,Nordeste,36182.96,Ano,S,Aprovado,nova,medio_baixo,2
EZYV16714,América do Norte,Ensino Médio,N,N,9245,1960,Meio-Oeste,41711.83,Ano,S,Aprovado,intermediaria,medio_baixo,4
EZYV18087,América do Norte,Ensino Superior,S,N,1022,1962,Nordeste,107762.7,Ano,S,Negado,intermediaria,alto,2
EZYV4383,Ásia,Doutorado,S,N,5253,1988,Sul,12649.43,Ano,S,Aprovado,intermediaria,baixo,2
EZYV12617,Ásia,Mestrado,N,N,2609,1989,Nordeste,3078.37,Mês,S,Negado,intermediaria,baixo,4
EZYV12543,Ásia,Ensino Médio,N,N,1795,1833,Nordeste,142313.17,Ano,S,Negado,antiga,alto,4
EZYV7058,América do Norte,Mestrado,S,N,2813,1983,Nordeste,58657.36,Ano,S,Aprovado,intermediaria,medio_baixo,2
