continente,educacao_do_empregado,tem_experiencia_de_trabalho,requer_treinamento_de_trabalho,num_de_empregados,ano_de_estabelecimento,regiao_de_emprego,salario_prevalecente,unidade_de_salario,posicao_em_tempo_integral,status_do_caso,cat_empresa,cat_salario,cat_experiencia
2,1,0,1,2087,1855,4,69711.24,0,1,0,0,3,3
5,3,1,0,5991,2003,1,52931.38,0,1,1,2,3,2
5,1,0,0,1426,2000,0,110830.21,0,1,0,2,0,4
5,1,0,0,3846,1992,1,91884.68,3,1,0,1,2,4
5,2,1,0,3957,1949,2,138155.24,0,1,1,1,0,2
5,3,1,0,2374,1998,3,129632.27,0,0,1,2,0,2
5,3,1,0,496,1998,2,111491.39,0,1,1,2,0,2
1,2,0,0,631,1999,4,547.0719,1,1,0,2,1,4
5,3,0,0,5795,2000,2,136521.72,0,1,1,2,0,4
5,3,1,0,70,2010,3,69027.56,0,1,1,2,3,2
2,2,1,1,99,1996,3,42594.42,0,1,1,2,3,1
1,2,1,0,25914,2004,4,806.2222,1,1,0,2,1,2
5,3,0,0,3630,1996,1,48657.18,0,1,1,2,3,4
0,2,1,0,1222,1997,2,851.4471,1,1,0,2,1,2
5,3,0,1,4473,1983,2,163519.84,0,1,1,1,0,3
5,3,1,0,549,1997,0,94064.29,0,1,1,2,2,2
2,2,1,0,1040,2003,3,49167.95,0,1,1,2,3,2
0,3,1,0,3060,2003,4,3400.65,0,1,1,2,1,2
0,3,1,0,3710,2005,2,26221.66,0,1,1,2,1,2
4,2,0,0,451,2000,4,66.1509,1,1,1,2,1,4
5,2,0,0,4160,1968,1,166973.76,0,1,1,1,0,4
5,2,0,0,3829,1998,3,30169.84,0,1,0,2,1,4
0,2,1,0,6289,2004,2,12759.63,0,1,1,2,1,2
5,2,0,0,2236,1965,3,30637.14,0,1,0,1,1,4
5,2,0,0,1905,1986,4,58246.93,0,1,1,1,3,4
5,2,1,0,2695,1988,1,12893.99,0,1,1,1,1,2
2,0,1,1,2504,2000,4,205508.95,0,1,1,2,0,1
5,2,1,0,3229,1998,4,68647.07,0,1,0,2,3,2
5,2,1,0,1086,2011,1,143.346,1,1,0,2,1,2
5,2,0,0,4433,1946,2,107268.08,0,1,1,1,2,4
0,2,1,0,908,1997,0,29099.81,0,1,1,2,1,2
0,0,1,0,3077,2007,4,10292.62,0,1,1,2,1,2
5,2,0,0,2075,2005,4,44816.71,0,1,1,2,3,4
2,3,1,0,3475,1986,2,35269.39,0,1,1,1,3,2
5,0,1,0,1946,1869,3,90686.97,0,1,0,0,2,2
5,2,0,1,2324,1937,0,93560.12,0,1,1,0,2,3
0,2,1,0,3376,2000,2,58025.3,0,0,1,2,3,2
5,2,0,0,4231,1894,4,955.657,1,1,0,0,1,4
5,2,0,0,4976,2000,3,146655.47,0,1,0,2,0,4
5,2,0,0,1190,2013,4,85490.1,0,1,0,2,2,4
5,3,1,0,1711,1975,2,57745.32,0,1,1,1,3,2
5,1,0,0,2733,2001,4,119529.62,0,1,0,2,0,4
5,2,1,0,239,2001,3,45139.63,0,1,1,2,3,2
5,2,1,1,505,2003,3,129422.72,0,1,0,2,0,1
5,2,0,0,4989,2004,3,43145.7,0,1,0,2,3,4
5,2,0,0,2240,2001,4,14439.38,0,0,1,2,1,4
2,0,1,0,2053,1994,4,14905.39,0,1,1,1,1,2
0,3,1,0,1967,2004,2,41236.95,0,1,0,2,3,2
5,3,1,0,3578,1914,2,241811.15,0,0,1,0,0,2
0,2,0,0,80,1968,3,82324.64,0,0,0,1,2,4
5,2,1,0,280,1996,3,76966.42,0,1,0,2,2,2
2,2,0,1,88622,2012,3,10869.2,0,1,1,2,1,3
5,2,1,1,3922,2001,3,615.32,0,1,0,2,1,1
0,3,1,1,4114,1977,4,123176.33,0,1,0,1,0,1
5,3,0,0,1652,1987,1,159643.51,0,1,1,1,0,4
5,2,0,0,2052,2007,4,100345.72,0,0,1,2,2,4
2,0,0,0,117375,1981,4,4122.75,0,1,1,1,1,4
5,2,1,0,2410,2008,4,50509.2,0,1,0,2,3,2
5,3,1,0,452,1890,4,122540.55,0,1,1,0,0,2
2,3,0,0,183,1975,3,69076.34,0,1,1,1,3,4
5,3,0,0,14063,2006,4,188651.38,0,1,1,2,0,4
5,0,1,0,80,1931,4,72311.46,0,0,1,0,2,2
2,1,0,0,595,1969,2,122697.43,0,1,0,1,0,4
1,0,0,0,1221,1980,4,31374.88,0,1,1,1,1,4
5,2,1,0,1125,1980,3,9857.9,0,1,1,1,1,2
2,1,1,0,234,1954,3,32139.19,0,1,0,1,1,2
5,3,1,0,5223,1972,3,35082.86,0,0,1,1,3,2
5,3,0,0,5476,1984,4,35035.36,0,1,0,1,3,4
5,2,1,0,631,2012,3,92642.43,0,1,1,2,2,2
2,0,1,0,5596,2000,3,3286.51,0,1,1,2,1,2
5,3,0,0,1277,2007,1,78379.31,0,1,1,2,2,4
5,1,1,0,39,2000,3,70778.82,0,1,0,2,2,2
5,2,1,0,2774,2006,4,6001.7,0,1,1,2,1,2
2,0,0,0,104,1872,2,51214.55,0,1,1,0,3,4
5,0,1,0,3359,1968,2,22773.95,0,1,1,1,1,2
2,3,1,0,2989,1954,3,92859.85,0,1,1,1,2,2
5,1,1,0,3081,2000,2,107725.69,0,1,0,2,0,2
5,1,1,0,1065,2011,2,36182.96,0,1,1,2,3,2
0,1,0,0,9245,1960,1,41711.83,0,1,1,1,3,4
0,2,1,0,1022,1962,2,107762.7,0,1,0,1,0,2
5,0,1,0,5253,1988,4,12649.43,0,1,1,1,1,2
5,3,0,0,2609,1989,2,3078.37,2,1,0,1,1,4
5,1,0,0,1795,1833,2,142313.17,0,1,0,0,0,4
0,3,1,0,2813,1983,2,58657.36,0,1,1,1,3,2
0,2,1,0,3520,1993,2,158.36,1,1,0,1,1,2
5,0,1,0,-11,1984,3,25753.51,0,1,0,1,1,2
2,1,1,1,69947,1995,2,127242.79,0,1,0,1,0,1
1,3,1,0,1224,1880,1,22815.27,0,1,1,0,1,2
5,3,1,0,4612,2009,2,19724.4,0,1,1,2,1,2
5,3,1,0,105,1997,4,65384.35,0,1,1,2,3,2
2,3,1,0,4655,1934,3,107125.17,0,1,0,0,2,2
5,3,1,0,1072,1974,4,47109.74,0,1,1,1,3,2
4,1,1,0,5838,1910,1,114592.85,0,1,1,0,0,2
5,3,1,0,5958,2010,4,386.95,0,1,1,2,1,2
